City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
231,murashi,59.3999,48.9615,-2.62,87,100,5.55,RU,1715234293
232,pointe aux piments,-20.0628,57.5131,26.31,72,100,10.6,MU,1715234294
233,bowen,-20.0167,148.2333,25.13,68,100,7.68,AU,1715234295
234,lucapa,-8.4192,20.7447,22.95,64,93,1.59,AO,1715234295
235,revda,56.801,59.9303,5.06,56,82,6.47,RU,1715234296
236,san bernardo del viento,9.3533,-75.9524,25.86,90,80,3.9,CO,1715234296
237,aur,8.1499,171.1687,27.78,84,99,8.9,MH,1715234297
238,san antonio de pale,-1.4014,5.6325,27.03,86,17,3.37,GQ,1715234297
239,porto santo stefano,42.4338,11.1237,16.79,82,99,4.63,IT,1715234298
240,taber,49.8167,-112.1518,6.0,87,68,3.09,CA,1715234299
241,villa gesell,-37.2639,-56.973,6.14,64,7,9.45,AR,1715234299
242,ulladulla,-35.35,150.4667,17.22,77,90,0.54,AU,1715234300
243,newman,37.3138,-121.0208,18.99,41,0,1.79,US,1715234301
244,retreat,38.8245,-85.8533,19.14,99,67,0.89,US,1715234301
245,kpalime,6.9,0.6333,24.18,95,88,1.29,TG,1715234302
246,rechka-vydrino,51.485,104.8461,2.26,98,79,4.41,RU,1715234302
247,essaouira,31.5125,-9.77,16.72,94,96,1.03,MA,1715234303
248,paray-le-monial,46.4546,4.1158,8.42,99,100,1.54,FR,1715234304
249,koumra,8.9126,17.5539,28.9,48,86,2.18,TD,1715234304
250,meulaboh,4.1363,96.1285,30.06,68,51,3.17,ID,1715234305
251,boguchany,58.3814,97.4531,3.81,80,100,5.36,RU,1715234305
252,christchurch,-43.5333,172.6333,7.11,73,21,1.03,NZ,1715234042
253,korem,12.5058,39.5228,17.18,74,28,2.38,ET,1715234306
254,macau,22.2006,113.5461,28.89,69,20,6.69,MO,1715234307
255,mao,39.8885,4.2658,16.31,77,0,4.63,ES,1715234308
256,kanniyakumari,8.0833,77.5667,31.81,65,85,4.66,IN,1715234308
257,lebu,-37.6167,-73.65,7.56,85,33,1.96,CL,1715234309
258,caburan,5.9181,125.6411,27.81,74,57,4.17,PH,1715234309
259,pacasmayo,-7.4006,-79.5714,19.22,87,64,3.27,PE,1715234310
260,kulhudhuffushi,6.6221,73.07,29.92,73,78,4.54,MV,1715234310
261,northam,51.0333,-4.2167,9.78,96,84,2.25,GB,1715234311
262,port-vila,-17.7338,168.3219,24.78,61,75,4.63,VU,1715234312
263,madras,13.0878,80.2785,34.44,68,40,3.13,IN,1715234312
264,rosolina,45.0731,12.2486,17.84,74,100,4.11,IT,1715234313
265,mtama,-10.3,39.3667,24.63,87,56,2.44,TZ,1715234313
266,sarangani,5.4033,125.4636,28.82,75,29,8.18,PH,1715234314
267,gadzhiyevo,69.2551,33.3362,-1.93,84,98,1.6,RU,1715234315
268,crescent city,41.756,-124.2018,15.58,79,0,9.26,US,1715234315
269,longyearbyen,78.2186,15.6401,0.91,64,75,7.72,SJ,1715234316
270,cockburn town,21.4612,-71.1419,24.94,74,81,7.01,TC,1715234316
271,ust-nera,64.5667,143.2,5.73,59,92,2.45,RU,1715234317
272,upington,-28.4478,21.2561,15.21,51,0,1.54,ZA,1715234318
273,sao vicente,-23.9631,-46.3919,28.48,26,45,2.87,BR,1715234319
274,howard springs,-12.497,131.047,33.95,64,53,0.97,AU,1715234319
275,freetown,8.484,-13.2299,26.66,86,100,1.3,SL,1715234320
276,champagnole,46.7445,5.9135,10.87,71,0,2.42,FR,1715234320
277,la romana,18.4273,-68.9728,23.44,93,12,3.55,DO,1715234321
278,haiku-pauwela,20.9219,-156.3051,23.36,79,20,9.26,US,1715234322
279,bintulu,3.1667,113.0333,34.23,66,40,2.57,MY,1715234322
280,hilo,19.7297,-155.09,24.04,93,75,2.57,US,1715234277
281,navia,43.5354,-6.7194,13.49,80,63,1.45,ES,1715234323
282,pinheiro,-2.5214,-45.0825,23.57,97,67,0.39,BR,1715234324
283,sao mateus,-18.7161,-39.8589,21.64,100,23,1.23,BR,1715234325
284,nyurba,63.2842,118.3319,-0.78,82,100,3.63,RU,1715234325
285,kerikeri,-35.2268,173.9474,15.51,64,74,2.68,NZ,1715234326
286,kirovsk,48.6375,38.6428,9.27,56,91,4.99,UA,1715234327
287,rakops,-21.0167,24.3333,18.28,36,0,5.56,BW,1715234327
288,bulgan,48.8125,103.5347,17.47,33,40,5.95,MN,1715234328
289,kloulklubed,7.0419,134.2556,30.28,70,59,3.25,PW,1715234328
290,ghanzi,-21.5667,21.7833,18.91,33,0,5.53,BW,1715234329
291,kaa-khem,51.6833,94.7333,13.0,44,91,7.8,RU,1715234329
292,vorgashor,67.5833,63.95,-2.33,74,100,9.97,RU,1715234330
293,college,64.8569,-147.8028,13.99,51,75,6.17,US,1715234331
294,inyonga,-6.7167,32.0667,20.13,74,100,3.06,TZ,1715234331
295,carauari,-4.8828,-66.8958,23.85,99,98,0.49,BR,1715234332
296,basco,20.4487,121.9702,27.04,69,96,12.44,PH,1715234332
297,bambanglipuro,-7.95,110.2833,29.36,71,56,6.34,ID,1715234333
298,kolwezi,-10.7148,25.4667,17.48,64,99,5.42,CD,1715234333
299,sarigerme,36.7155,28.7044,16.73,88,75,2.06,TR,1715234334
300,walvis bay,-22.9575,14.5053,14.49,79,89,3.0,NA,1715234335
301,kiunga,-6.1219,141.2906,24.98,97,100,0.59,PG,1715234335
302,santa cruz,-17.8,-63.1667,19.7,100,75,7.72,BO,1715234147
303,las palmas,28.4204,-14.0131,18.44,60,0,2.57,ES,1715234337
304,meadow lakes,61.6247,-149.6011,4.55,90,100,3.09,US,1715234338
305,barkhan,29.8977,69.5256,33.95,10,1,3.0,PK,1715234340
306,zhob,31.3411,69.4481,30.74,14,48,0.4,PK,1715234340
307,hachinohe,40.5,141.5,8.98,72,100,2.2,JP,1715234341
308,puerto baquerizo moreno,-0.9,-89.6,22.75,89,100,4.33,EC,1715234341
309,sabang,5.8933,95.3214,29.68,70,51,3.34,ID,1715234342
310,cloquet,46.7216,-92.4594,9.26,65,0,2.06,US,1715234343
311,juegang,32.3174,121.1855,21.22,47,74,4.17,CN,1715234343
312,hithadhoo,-0.6,73.0833,29.24,75,83,5.26,MV,1715234344
313,tanah merah,5.8,102.15,37.78,44,100,1.77,MY,1715234344
314,gamba,-2.65,10.0,25.76,90,99,1.9,GA,1715234345
315,sona,45.4388,10.8255,16.81,88,75,1.54,IT,1715234346
316,kourou,5.1552,-52.6478,26.03,89,65,2.91,GF,1715234346
317,peterhead,57.5058,-1.7981,12.22,96,100,3.44,GB,1715234347
318,peace river,56.2501,-117.286,12.17,37,20,6.17,CA,1715234347
319,coruripe,-10.1256,-36.1756,24.91,92,82,3.96,BR,1715234348
320,enshi,30.3,109.4833,20.24,82,100,2.34,CN,1715234349
321,arar,30.9753,41.0381,21.01,21,0,3.09,SA,1715234349
322,fort st. john,56.2499,-120.8529,9.94,34,75,4.63,CA,1715234092
323,comodoro rivadavia,-45.8667,-67.5,0.92,93,0,2.06,AR,1715234350
324,kosh-agach,50.0,88.6667,11.28,35,4,0.89,RU,1715234352
325,urengoy,65.9667,78.3667,-1.69,96,87,2.57,RU,1715234352
326,gisborne,-38.6533,178.0042,11.04,72,100,11.75,NZ,1715234353
327,wenchang,30.904,118.4887,26.11,40,99,1.96,CN,1715234353
328,vilyuchinsk,52.9306,158.4028,10.15,70,86,6.62,RU,1715234354
329,port lincoln,-34.7333,135.8667,17.16,64,4,4.55,AU,1715234346
330,mili,6.0815,171.735,28.16,82,26,6.67,MH,1715234355
331,guerrero negro,27.9769,-114.0611,15.03,83,0,5.47,MX,1715234356
332,rongelap,11.1635,166.8941,27.22,78,72,8.13,MH,1715234356
